,brand,name,price,spec_rating,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,resolution_width,resolution_height,OS,warranty,image
0,HP,Victus 15-fb0157AX Gaming Laptop,49900,73.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,4GB AMD Radeon RX 6500M,15.6,1920,1080,Windows 11 OS,1,https://th.bing.com/th/id/OIP.pXUS-5nEdL1T5YoauTxXdwHaGS?rs=1&pid=ImgDetMain
1,HP,15s-fq5007TU Laptop,39900,60.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,1,https://th.bing.com/th/id/OIP.DEaipclN3N15A0T5eKy7RQHaFj?rs=1&pid=ImgDetMain
2,Acer,One 14 Z8-415 Laptop,26990,69.32352941,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,14.0,1920,1080,Windows 11 OS,1,https://5.imimg.com/data5/SELLER/Default/2023/9/341478600/KJ/DY/MF/48144274/acer-ao-14-z8-415-laptop-1000x1000.jpg
3,Lenovo,Yoga Slim 6 14IAP8 82WU0095IN Laptop,59729,66.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,512GB,SSD,Intel Integrated Iris Xe,14.0,2240,1400,Windows 11 OS,1,https://th.bing.com/th/id/OIP.-2fQu_gHPmlRtEWa6j6cTgHaFe?rs=1&pid=ImgDetMain
4,Apple,MacBook Air 2020 MGND3HN Laptop,69990,69.32352941,Apple M1,Octa Core (4P + 4E),8GB,DDR4,256GB,SSD,Apple M1 Integrated Graphics,13.3,2560,1600,Mac OS,1,https://th.bing.com/th/id/OIP.n0ahHRORZC7StV7zQ4bIkgHaHa?rs=1&pid=ImgDetMain
5,Acer,Extensa EX214-53 Laptop,39990,62.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,14.0,1920,1080,Windows 11 OS,1,https://th.bing.com/th/id/OIP.1t2_M51pME9DRrTvQCAmKAHaFv?rs=1&pid=ImgDetMain
6,Dell,Inspiron 3520 D560896WIN9B Laptop,36790,60.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,1,https://th.bing.com/th/id/OIP.-rhUDEJESl0O2NpHloZcUwHaHa?rs=1&pid=ImgDetMain
7,Acer,Nitro V ANV15-51 2023 Gaming Laptop,76990,63.0,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR5,512GB,SSD,6GB NVIDIA GeForce RTX 4050,15.6,1920,1080,Windows 11 OS,1,"https://static-ecapac.acer.com/media/catalog/product/a/c/acer-nitro-v-15-anv15-51-non-fingerprint-with-backlit-on-wp-black-01_nh.qn8sn.001.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=500&width=500&canvas=500:500"
8,Asus,Vivobook 15 X1502ZA-EJ523WS Laptop,48990,64.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe,15.6,1920,1080,Windows 11 OS,1,"https://static.toiimg.com/thumb/resizemode-4,msid-91621672,imgsize-500,width-800/91621672.jpg"
9,Samsung,Galaxy Book2 Pro 13 Laptop,74990,68.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,512GB,SSD,Intel Iris Xe Graphics,13.3,1080,1920,Windows 11 OS,1,https://th.bing.com/th/id/OIP.OpuE1AafKXpE2h8VrRVcGgAAAA?rs=1&pid=ImgDetMain
